"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_id_strict\run_2026-02-05_11-36-48","gamspy\estimation_spec_job_choice_v0_id_strict\run_2026-02-05_11-36-48","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_minimal\run_2026-02-04_21-02-19","gamspy\estimation_spec_job_choice_v0_minimal\run_2026-02-04_21-02-19","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_minimal\run_2026-02-04_23-33-58","gamspy\estimation_spec_job_choice_v0_minimal\run_2026-02-04_23-33-58","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus\run_2026-02-05_00-01-13","gamspy\estimation_spec_job_choice_v0_plus\run_2026-02-05_00-01-13","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus\run_2026-02-05_10-48-29","gamspy\estimation_spec_job_choice_v0_plus\run_2026-02-05_10-48-29","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-21-22","gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-21-22","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-27-57","gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-27-57","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-48-39","gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_00-48-39","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_11-00-11","gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_11-00-11","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_11-07-11","gamspy\estimation_spec_job_choice_v0_plus_b\run_2026-02-05_11-07-11","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_plus_c\run_2026-02-05_13-34-18","gamspy\estimation_spec_job_choice_v0_plus_c\run_2026-02-05_13-34-18","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v1\run_2026-02-04_19-59-42","gamspy\estimation_spec_job_choice_v1\run_2026-02-04_19-59-42","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v1_dummies\run_2026-02-04_16-20-22","gamspy\estimation_spec_job_choice_v1_dummies\run_2026-02-04_16-20-22","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M0\run_2026-02-05_15-38-28","gamspy\estimation_spec_job_M0\run_2026-02-05_15-38-28","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M0\run_2026-02-08_22-27-15","gamspy\estimation_spec_job_M0\run_2026-02-08_22-27-15","9","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-19-19","gamspy\estimation_spec_job_M1\run_2026-02-05_16-19-19","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-22-00","gamspy\estimation_spec_job_M1\run_2026-02-05_16-22-00","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-42-16","gamspy\estimation_spec_job_M1\run_2026-02-05_16-42-16","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-44-46","gamspy\estimation_spec_job_M1\run_2026-02-05_16-44-46","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-47-04","gamspy\estimation_spec_job_M1\run_2026-02-05_16-47-04","8","True","True","True","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_M1\run_2026-02-05_16-50-11","gamspy\estimation_spec_job_M1\run_2026-02-05_16-50-11","8","True","True","True","True","20-02-26 11:02:29"
