kind,old_path,new_path,n_content_subs,warnings
rename,docs/RURO_R_REFERENCE_COMPARISON_SECTOR_OPPORTUNITY_PLAN.md,docs/RURO_R_REFERENCE_COMPARISON_SECTOR_OPPORTUNITY_PLAN.md,,
rename,docs/RURO_ruro_occ_baseline_implementation_report_v1.md,docs/RURO_ruro_occ_baseline_implementation_report_v1.md,,
rename,docs/RURO_ruro_occ_baseline_spec_v1.md,docs/RURO_ruro_occ_baseline_spec_v1.md,,
rename,docs/RURO_ruro_occ_M0_estimation_run_2026-05-13.md,docs/RURO_ruro_occ_M0_estimation_run_2026-05-13.md,,
rename,docs/RURO_ruro_occ_M0_file_sync_check_v1.md,docs/RURO_ruro_occ_M0_file_sync_check_v1.md,,
rename,docs/RURO_ruro_occ_M0_rebuild_command_plan_v1.md,docs/RURO_ruro_occ_M0_rebuild_command_plan_v1.md,,
rename,docs/RURO_ruro_occ_post_estimation_report_fix_v1.md,docs/RURO_ruro_occ_post_estimation_report_fix_v1.md,,
rename,notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,notes/R_REFERENCE_vs_PYTHON_SPECIFICATION.md,,
rename,reports/fr_2016_ruro_occ_gamspy_llm_summary_20260513_150938.md,reports/fr_2016_ruro_occ_gamspy_llm_summary_20260513_150938.md,,
rename,Results/RURO_ruro_occ_M0_full_rebuild_report_v1.md,Results/RURO_ruro_occ_M0_full_rebuild_report_v1.md,,
rename,Results/RURO_ruro_occ_M0_mnl_validation_report_v1.md,Results/RURO_ruro_occ_M0_mnl_validation_report_v1.md,,
rename,Results/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,Results/RURO_ruro_occ_M0_rebuild_canary_report_v1.md,,
rename,Results/RURO_ruro_occ_M0_triage_memo_v1.md,Results/RURO_ruro_occ_M0_triage_memo_v1.md,,
rename,Results/_canary_ruro_occ_M0.py,Results/_canary_ruro_occ_M0.py,,
rename,Results/_canary_ruro_occ_M0_results.json,Results/_canary_ruro_occ_M0_results.json,,
rename,Results/_validation_ruro_occ_M0.json,Results/_validation_ruro_occ_M0.json,,
rename,Results/_validation_ruro_occ_M0.py,Results/_validation_ruro_occ_M0.py,,
