sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
expenditures,xhl00,EXPENDITURE: Health care,expenditure for health care,1,0,0,0,0,0,0
expenditures,xmp,EXPENDITURE : Maintenance Payment,regular inter-household cash transfers paid,1,0,0,0,0,0,0
expenditures,xpp,EXPENDITURE : Private Pension (voluntary),contributions to individual private pension plans,1,0,0,0,0,0,0
hhot,sft_h,family type for HHoT household,,,0,0,0,0,0,0
hhot,sid_h,household id for HHoT household,,,7482,63155144.39457703,890216210.7305866,608800185.4478399,18093234,2078521206
income,bch00,BENEFIT/PENSION : Child : Main/Basic,monthly Family Allowance (Allocation Familiale AF),1,0,0,0,0,0,0
income,bched,BENEFIT/PENSION : Child : Education,yearly Mean Tested education related family benefit (Allocation de rentrée scolaire ARS),1,0,0,0,0,0,0
income,bchlg,BENEFIT/PENSION : Child : Large Family,monthly Family Complement (Complément Familial CF),1,0,0,0,0,0,0
income,bchlp,benefit/pension : child : lone parent,,1,0,0,0,0,0,0
income,bchot,BENEFIT/PENSION : Child : Other,monthly Other Family Benefit (autres prestations familiales),1,0,0,0,0,0,0
income,bchyc,BENEFIT/PENSION : Child : Young Children,monthly Mean Tested Young Children Allowance and Baby Bonus (Prestation d'accueil des jeunes enfants PAJE + Prime de naissance),1,0,0,0,0,0,0
income,bdi,BENEFIT/PENSION : Disability,monthly Disabled Benefit (Allocation de l'adulte Handicapé AAH),1,0,0,0,0,0,0
income,bed,BENEFIT/PENSION : Education,education-related allowances,1,0,0,0,0,0,0
income,bfa,BENEFIT/PENSION : Family,family/children related allowances,1,0,0,0,0,0,0
income,bhl,BENEFIT/PENSION : Health,sickness benefits,1,0,0,0,0,0,0
income,bho,BENEFIT/PENSION : Housing,housing allowances,1,0,0,0,0,0,0
income,bhoot,BENEFIT/PENSION : Housing,dissaggregation of bho,1,0,0,0,0,0,0
income,bhotn,BENEFIT/PENSION : Housing,dissaggregation of bho,1,0,0,0,0,0,0
