year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2008,6,FRF,Grand Est,1,M,ED3_4,educM,1,0.049,Y20-64,6
2008,6,FRF,Grand Est,1,M,ED5-8,educH,2,0.035,Y20-64,6
2008,6,FRF,Grand Est,1,M,TOTAL,educALL,-1,0.057999999999999996,Y20-64,6
2008,7,FRG,Pays de la Loire,0,F,ED0-2,educL,0,0.10099999999999999,Y20-64,7
2008,7,FRG,Pays de la Loire,0,F,ED3_4,educM,1,0.055,Y20-64,7
2008,7,FRG,Pays de la Loire,0,F,ED5-8,educH,2,0.052000000000000005,Y20-64,7
2008,7,FRG,Pays de la Loire,0,F,TOTAL,educALL,-1,0.065,Y20-64,7
2008,7,FRG,Pays de la Loire,1,M,ED0-2,educL,0,0.099,Y20-64,7
2008,7,FRG,Pays de la Loire,1,M,ED3_4,educM,1,0.038,Y20-64,7
2008,7,FRG,Pays de la Loire,1,M,ED5-8,educH,2,,Y20-64,7
2008,7,FRG,Pays de la Loire,1,M,TOTAL,educALL,-1,0.051,Y20-64,7
2008,8,FRH,Bretagne,0,F,ED0-2,educL,0,0.084,Y20-64,8
2008,8,FRH,Bretagne,0,F,ED3_4,educM,1,0.049,Y20-64,8
2008,8,FRH,Bretagne,0,F,ED5-8,educH,2,0.039,Y20-64,8
2008,8,FRH,Bretagne,0,F,TOTAL,educALL,-1,0.052000000000000005,Y20-64,8
2008,8,FRH,Bretagne,1,M,ED0-2,educL,0,,Y20-64,8
2008,8,FRH,Bretagne,1,M,ED3_4,educM,1,0.047,Y20-64,8
2008,8,FRH,Bretagne,1,M,ED5-8,educH,2,0.042,Y20-64,8
2008,8,FRH,Bretagne,1,M,TOTAL,educALL,-1,0.045,Y20-64,8
2008,9,FRI,Nouvelle-Aquitaine,0,F,ED0-2,educL,0,0.11199999999999999,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,0,F,ED3_4,educM,1,0.07200000000000001,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,0,F,ED5-8,educH,2,0.045,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,0,F,TOTAL,educALL,-1,0.07400000000000001,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,1,M,ED0-2,educL,0,0.085,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,1,M,ED3_4,educM,1,0.049,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,1,M,ED5-8,educH,2,0.048,Y20-64,9
2008,9,FRI,Nouvelle-Aquitaine,1,M,TOTAL,educALL,-1,0.057,Y20-64,9
2008,10,FRJ,Occitanie,0,F,ED0-2,educL,0,0.11900000000000001,Y20-64,10
2008,10,FRJ,Occitanie,0,F,ED3_4,educM,1,0.081,Y20-64,10
2008,10,FRJ,Occitanie,0,F,ED5-8,educH,2,0.048,Y20-64,10
2008,10,FRJ,Occitanie,0,F,TOTAL,educALL,-1,0.077,Y20-64,10
2008,10,FRJ,Occitanie,1,M,ED0-2,educL,0,0.10800000000000001,Y20-64,10
2008,10,FRJ,Occitanie,1,M,ED3_4,educM,1,0.067,Y20-64,10
2008,10,FRJ,Occitanie,1,M,ED5-8,educH,2,0.036000000000000004,Y20-64,10
2008,10,FRJ,Occitanie,1,M,TOTAL,educALL,-1,0.069,Y20-64,10
