hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000088700,2015,FAIL,0,129.34999999999945,2863.644285723087,2992.9942857230863,129.99999999999997,0.6500000000000057,0.0,0.0,ils_ben
100000089200,2015,FAIL,0,146.87028529195413,2671.034134137233,2817.9044194291873,130.0000000000001,14.512843465875008,0.0,0.0,ils_ben
100000089300,2015,FAIL,0,308.05509215204256,3974.9692281135976,4283.02432026564,333.08,23.359507847957445,0.0,0.0,ils_ben
100000089500,2015,FAIL,0,129.3499999999999,3825.4727295979997,3954.8227295979996,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000089700,2015,FAIL,0,888.8265724561352,7074.337113488744,7963.163685944879,333.08,388.221972456137,0.0,0.0,ils_tax
100000090700,2015,FAIL,0,396.09954570770606,5179.0655219812925,5575.1650676889985,324.08000000000004,95.50505429229338,0.0,0.0,ils_ben
100000092500,2015,PASS,0,0.0,3423.9564543798247,3423.9564543798247,0.0,0.0,0.0,0.0,
100000092600,2015,FAIL,0,41.068924555411286,4318.356407930133,4277.287483374722,130.0,171.06892455541094,0.0,0.0,ils_tax
100000093300,2015,FAIL,0,659.1613720177747,5437.937318847355,6097.098690865129,333.0799999999999,158.55677201777493,0.0,0.0,ils_ben
100000094800,2015,FAIL,0,933.9852499999997,10115.128504207634,11049.113754207634,194.99,612.0101999999997,0.0,0.0,ils_tax
100000095300,2015,FAIL,0,791.9906023950625,4192.151918078821,4984.142520473883,463.05999999999995,145.11590239506285,0.0,0.0,ils_ben
100000095500,2015,FAIL,0,586.1795033254875,6303.245797332645,6889.425300658133,333.08,69.2249033254883,0.0,0.0,ils_ben
100000095700,2015,FAIL,0,499.75864999999976,6005.38055435388,6505.13920435388,333.08,1.6654000000000053,0.0,0.0,ils_ben
100000096500,2015,FAIL,0,653.2981413756897,4186.802660528216,4840.100801903905,333.08,135.75354137568934,0.0,0.0,ils_ben
100000096700,2015,FAIL,0,137.75,8633.607710291253,8495.857710291253,0.0,137.75,0.0,0.0,ils_tax
100000097500,2015,FAIL,0,84.90036159617966,2736.075597368873,2651.175235772693,0.0,84.9003615961798,0.0,0.0,ils_tax
100000098300,2015,PASS,0,0.0,2731.939949173955,2731.939949173955,0.0,0.0,0.0,0.0,
100000099400,2015,FAIL,0,534.4316574888398,4504.07340670866,5038.505064197499,333.08,33.827057488839785,0.0,0.0,ils_ben
100000100200,2015,FAIL,0,367.92831664151345,4283.8146712888865,4651.7429879304,0.0,367.92831664151305,0.0,0.0,ils_tax
100000101400,2015,FAIL,0,8.751437016608179,4577.218281437134,4568.466844420525,333.08,340.1660370166074,0.0,0.0,ils_tax
100000103100,2015,PASS,0,0.0,2609.905371068317,2609.905371068317,0.0,0.0,0.0,0.0,
100000103900,2015,FAIL,0,144.83233432278098,1613.5498517254118,1468.7175174026308,145.56013499776992,0.7278006749888277,0.0,0.0,ils_ben
100000104200,2015,FAIL,0,516.0268999999998,5644.5777706030185,6160.604670603018,333.08,1.6654000000000337,0.0,0.0,ils_ben
100000104400,2015,FAIL,0,45.070006920838296,3699.841784592783,3744.911791513621,130.0,84.27999307916181,0.0,0.0,ils_ben
100000105000,2015,FAIL,0,566.7347045627266,5843.032969153934,6409.76767371666,333.0799999999999,66.13010456272644,0.0,0.0,ils_ben
100000105100,2015,FAIL,0,343.2855485604632,4463.839567214787,4807.12511577525,0.0,343.2855485604632,0.0,0.0,ils_tax
100000106200,2015,FAIL,0,752.0044166666667,4081.4831102916332,4833.4875269583,755.7833333333333,3.7789166666666745,0.0,0.0,ils_ben
100000108500,2015,PASS,0,0.0,2496.7108155137785,2496.7108155137785,0.0,0.0,0.0,0.0,
100000108700,2015,PASS,0,0.0,3592.7099768401213,3592.7099768401213,0.0,0.0,0.0,0.0,
